instance_id,policy,budget,exit_status,has_patch,cost,api_calls,total_prompt_tokens,total_cache_read,cache_hit_rate,total_msgs_evicted,num_steps
astropy__astropy-12907,fifo,8000,Submitted,True,0.42956084999999994,56,584169,319941,0.5476856868474705,2096,56
astropy__astropy-14182,fifo,8000,Submitted,True,0.4450945000000001,53,579302,279785,0.48296915943670143,1156,53
astropy__astropy-14365,fifo,8000,Submitted,True,0.36202805000000005,47,569501,348488,0.6119181529093013,652,47
astropy__astropy-14995,fifo,8000,Submitted,True,0.36276,43,429360,196600,0.45789081423514066,1004,43
astropy__astropy-6938,fifo,8000,Submitted,True,0.37947879999999995,55,566679,317408,0.5601195738680982,528,55
astropy__astropy-12907,none,999999,Submitted,True,0.18759194999999995,36,769721,718377,0.9332953108983645,0,36
astropy__astropy-14182,none,999999,Submitted,True,0.49920375000000006,93,2971463,2891965,0.9732461753688335,0,93
astropy__astropy-14365,none,999999,Submitted,True,0.15976744999999998,35,550076,500322,0.9095506802696355,0,35
astropy__astropy-14995,none,999999,Submitted,True,0.18103260000000002,39,796968,748096,0.9386775880587427,0,39
astropy__astropy-6938,none,999999,Submitted,True,0.1551879,43,643730,599209,0.9308390163577898,0,43
