benchmark,policy,cost_model,n,mean_cost,mean_compactions
hermes_kimi,boundary_aware,anthropic/claude-haiku-4-5,100,0.092430,0.47
hermes_kimi,boundary_aware,anthropic/claude-sonnet-4-6,100,0.277290,0.47
hermes_kimi,boundary_aware,openai/gpt-4.1,100,0.236788,0.47
hermes_kimi,boundary_aware,openai/gpt-4.1-mini,100,0.047358,0.47
hermes_kimi,boundary_aware,qwen/qwen3-30b-a3b,100,0.007861,0.47
hermes_kimi,microcompact,anthropic/claude-haiku-4-5,100,0.166576,3.67
hermes_kimi,microcompact,anthropic/claude-sonnet-4-6,100,0.499728,3.67
hermes_kimi,microcompact,openai/gpt-4.1,100,0.399158,3.67
hermes_kimi,microcompact,openai/gpt-4.1-mini,100,0.079832,3.67
hermes_kimi,microcompact,qwen/qwen3-30b-a3b,100,0.012779,3.67
hermes_kimi,naive_summary,anthropic/claude-haiku-4-5,100,0.096990,1.12
hermes_kimi,naive_summary,anthropic/claude-sonnet-4-6,100,0.290969,1.12
hermes_kimi,naive_summary,openai/gpt-4.1,100,0.213732,1.12
hermes_kimi,naive_summary,openai/gpt-4.1-mini,100,0.042746,1.12
hermes_kimi,naive_summary,qwen/qwen3-30b-a3b,100,0.008018,1.12
hermes_kimi,none,anthropic/claude-haiku-4-5,100,0.089970,0.00
hermes_kimi,none,anthropic/claude-sonnet-4-6,100,0.269910,0.00
hermes_kimi,none,openai/gpt-4.1,100,0.233266,0.00
hermes_kimi,none,openai/gpt-4.1-mini,100,0.046653,0.00
hermes_kimi,none,qwen/qwen3-30b-a3b,100,0.007651,0.00
hermes_kimi,prefix_preserving,anthropic/claude-haiku-4-5,100,0.100083,1.76
hermes_kimi,prefix_preserving,anthropic/claude-sonnet-4-6,100,0.300248,1.76
hermes_kimi,prefix_preserving,openai/gpt-4.1,100,0.247492,1.76
hermes_kimi,prefix_preserving,openai/gpt-4.1-mini,100,0.049498,1.76
hermes_kimi,prefix_preserving,qwen/qwen3-30b-a3b,100,0.008562,1.76
