instance_id,policy,budget,n_steps,n_evictions,total_prompt_tokens,total_cached_tokens,total_completion_tokens,lifetime_cost,median_cliff,max_cliff
astropy__astropy-12907,adaptive,8000,30,12,251820,162207,5643,0.213190,5.360,18.080
astropy__astropy-14182,adaptive,8000,30,12,300490,190346,6321,0.273256,3.479,6.263
astropy__astropy-14365,adaptive,8000,30,12,275665,188635,4169,0.211285,3.350,7.383
astropy__astropy-14995,adaptive,8000,30,11,261850,122675,5386,0.340907,4.953,9.806
astropy__astropy-6938,adaptive,8000,30,7,226472,140804,5953,0.205187,4.144,15.786
astropy__astropy-12907,fifo,8000,56,19,584169,319941,14030,0.682316,30.740,49.702
astropy__astropy-14182,fifo,8000,53,18,579302,279785,8991,0.735671,32.425,73.271
astropy__astropy-14365,fifo,8000,47,13,569501,348488,10776,0.571173,36.223,77.190
astropy__astropy-14995,fifo,8000,43,17,429360,196600,10890,0.586320,19.470,46.265
astropy__astropy-6938,fifo,8000,55,13,566679,317408,8140,0.610547,42.354,44.634
astropy__astropy-12907,none,999999,36,0,769721,718377,10879,0.227653,,
astropy__astropy-14182,none,999999,93,0,2971463,2891965,22564,0.569961,,
astropy__astropy-14365,none,999999,35,0,550076,500322,10096,0.197772,,
astropy__astropy-14995,none,999999,39,0,796968,748096,9480,0.220837,,
astropy__astropy-6938,none,999999,43,0,643730,599209,8445,0.189272,,
astropy__astropy-12907,summarize,8000,30,19,165072,55966,7114,0.248968,15.785,18.819
astropy__astropy-14182,summarize,8000,30,15,182150,91262,5111,0.194057,7.012,8.390
astropy__astropy-14365,summarize,8000,30,18,173555,61694,5567,0.238767,32.696,50.333
astropy__astropy-14995,summarize,8000,30,14,174795,80300,6190,0.240151,4.159,4.842
astropy__astropy-6938,summarize,8000,30,10,159919,91667,3771,0.128092,3.894,5.215
